Stock,Type,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
ASTRAL,SHORT,2025-11-14 09:37:00,2025-11-14 09:48:00,1532.4,1532.9,-0.032628556512659876
ATGL,LONG,2025-11-12 09:16:00,2025-11-12 09:20:00,617.75,615.45,-0.37231889923107314
ATGL,LONG,2025-11-12 09:42:00,2025-11-12 09:51:00,620.1,622.0,0.30640219319464235
ATGL,LONG,2025-11-14 09:16:00,2025-11-14 09:21:00,626.0,623.5,-0.3993610223642172
ATGL,LONG,2025-11-14 09:47:00,2025-11-14 09:52:00,628.25,628.8,0.08754476721049814
ATGL,LONG,2025-11-20 09:18:00,2025-11-20 09:30:00,617.15,618.05,0.14583164546706268
ATGL,SHORT,2025-11-24 09:32:00,2025-11-24 09:54:00,604.4,602.9,0.2481800132362674
AUROPHARMA,LONG,2025-11-13 09:51:00,2025-11-13 10:10:00,1199.1,1209.7,0.8839963305812807
AUROPHARMA,LONG,2025-11-17 09:53:00,2025-11-17 10:02:00,1237.9,1234.0,-0.3150496809112279
AUROPHARMA,SHORT,2025-11-20 09:39:00,2025-11-20 09:47:00,1217.3,1218.9,-0.13143842931078095
AXISBANK,LONG,2025-11-06 09:17:00,2025-11-06 09:25:00,1237.4,1234.5,-0.2343623727169946
BAJAJ-AUTO,SHORT,2025-11-07 09:20:00,2025-11-07 09:40:00,8659.5,8621.0,0.44459841792251287
BAJAJ-AUTO,SHORT,2025-11-11 09:50:00,2025-11-11 10:03:00,8746.0,8750.0,-0.0457351932311914
BAJAJ-AUTO,SHORT,2025-11-21 09:16:00,2025-11-21 09:23:00,8904.0,8933.0,-0.325696316262354
BAJAJFINSV,LONG,2025-11-10 09:39:00,2025-11-10 09:43:00,2121.3,2113.6,-0.362984962051585
BAJAJFINSV,SHORT,2025-11-11 09:17:00,2025-11-11 09:40:00,2033.9,1991.8,2.0699149417375553
BAJAJFINSV,LONG,2025-11-20 09:34:00,2025-11-20 09:38:00,2058.0,2051.0,-0.3401360544217687
BAJFINANCE,SHORT,2025-11-11 09:16:00,2025-11-11 09:39:00,1021.8,1012.3,0.9297318457623802
BAJFINANCE,SHORT,2025-11-21 09:55:00,2025-11-21 09:58:00,1018.6,1021.0,-0.2356175142352226
BALKRISIND,LONG,2025-11-04 09:45:00,2025-11-04 10:10:00,2321.0,2347.6,1.146057733735455
BALKRISIND,SHORT,2025-11-06 09:49:00,2025-11-06 09:53:00,2315.1,2321.6,-0.2807654097015248
BALKRISIND,LONG,2025-11-12 09:57:00,2025-11-12 10:09:00,2373.0,2374.6,0.06742520016855916
BALKRISIND,SHORT,2025-11-14 09:55:00,2025-11-14 09:59:00,2324.1,2325.7,-0.06884385353469769
BALKRISIND,SHORT,2025-11-18 09:57:00,2025-11-18 10:14:00,2317.8,2316.3,0.06471654154801967
BALKRISIND,SHORT,2025-11-19 09:51:00,2025-11-19 10:00:00,2305.9,2305.8,0.004336701504831478
BALKRISIND,SHORT,2025-11-20 09:47:00,2025-11-20 10:16:00,2309.1,2288.4,0.8964531635702143
BALKRISIND,LONG,2025-11-21 09:39:00,2025-11-21 09:48:00,2327.0,2324.1,-0.12462397937258664
BANDHANBNK,SHORT,2025-11-04 09:48:00,2025-11-04 09:51:00,156.67,156.95,-0.17871960171060264
BANKBARODA,LONG,2025-11-17 09:16:00,2025-11-17 09:35:00,291.75,291.45,-0.10282776349614786
BANKINDIA,SHORT,2025-11-04 09:17:00,2025-11-04 09:20:00,141.46,141.93,-0.33224939912342627
BANKINDIA,SHORT,2025-11-06 09:47:00,2025-11-06 09:53:00,140.8,141.12,-0.2272727272727224
BANKINDIA,LONG,2025-11-12 09:20:00,2025-11-12 09:27:00,147.15,146.9,-0.16989466530750932
BANKINDIA,LONG,2025-11-20 09:55:00,2025-11-20 10:03:00,149.0,148.71,-0.19463087248321614
BDL,SHORT,2025-11-06 09:17:00,2025-11-06 09:50:00,1470.8,1448.6,1.5093826488985618
BDL,LONG,2025-11-10 09:36:00,2025-11-10 09:43:00,1498.1,1491.6,-0.4338829183632602
BDL,LONG,2025-11-11 09:25:00,2025-11-11 09:35:00,1545.4,1540.4,-0.3235408308528536
BDL,LONG,2025-11-12 09:56:00,2025-11-12 10:02:00,1545.9,1544.2,-0.10996830325377097
BDL,LONG,2025-11-13 09:28:00,2025-11-13 09:37:00,1543.3,1540.0,-0.21382751247326862
BDL,LONG,2025-11-14 09:16:00,2025-11-14 09:40:00,1594.9,1613.7,1.1787572888582327
BDL,SHORT,2025-11-18 09:55:00,2025-11-18 10:03:00,1568.0,1568.5,-0.03188775510204082
BEL,LONG,2025-11-11 09:16:00,2025-11-11 09:19:00,421.2,419.0,-0.5223171889838529
BEL,SHORT,2025-11-19 09:17:00,2025-11-19 09:20:00,417.05,418.6,-0.37165807457139705
BEL,SHORT,2025-11-21 09:55:00,2025-11-21 10:04:00,419.45,420.25,-0.190725950649663
BEL,SHORT,2025-11-24 09:16:00,2025-11-24 09:29:00,412.15,412.15,-0.0
BEL,SHORT,2025-11-24 09:46:00,2025-11-24 09:49:00,410.2,410.8,-0.14627011214042485
BEL,SHORT,2025-11-24 09:59:00,2025-11-24 10:01:00,409.35,410.55,-0.2931476731403417
BERGEPAINT,SHORT,2025-11-07 09:38:00,2025-11-07 09:49:00,537.25,537.5,-0.04653327128897162
BERGEPAINT,LONG,2025-11-11 09:35:00,2025-11-11 09:48:00,557.0,554.9,-0.377019748653505
BERGEPAINT,LONG,2025-11-14 09:54:00,2025-11-14 10:08:00,576.95,577.3,0.06066383568765214
BHARATFORG,LONG,2025-11-19 09:22:00,2025-11-19 09:29:00,1409.8,1409.5,-0.021279614129660555
BHEL,LONG,2025-11-03 09:59:00,2025-11-03 10:02:00,268.25,267.2,-0.3914259086672922
BHEL,LONG,2025-11-10 09:16:00,2025-11-10 09:35:00,266.2,268.7,0.9391435011269723
BHEL,LONG,2025-11-12 09:51:00,2025-11-12 09:54:00,289.35,287.55,-0.6220839813374844
BIOCON,LONG,2025-11-06 09:40:00,2025-11-06 09:47:00,386.4,385.65,-0.19409937888198758
BIOCON,LONG,2025-11-11 09:31:00,2025-11-11 09:40:00,387.65,386.25,-0.3611505223784283
BIOCON,SHORT,2025-11-12 09:59:00,2025-11-12 10:05:00,382.65,383.5,-0.2221351104142226
BIOCON,LONG,2025-11-17 09:55:00,2025-11-17 10:07:00,416.75,417.9,0.275944811037787
BIOCON,SHORT,2025-11-20 09:20:00,2025-11-20 09:39:00,400.45,395.45,1.248595330253465
BOSCHLTD,SHORT,2025-11-06 09:53:00,2025-11-06 10:02:00,37245.0,37215.0,0.08054772452678212
BOSCHLTD,SHORT,2025-11-14 09:20:00,2025-11-14 09:25:00,36900.0,37090.0,-0.5149051490514905
BOSCHLTD,LONG,2025-11-17 09:17:00,2025-11-17 09:30:00,37220.0,37390.0,0.4567436861902203
BPCL,LONG,2025-11-04 09:53:00,2025-11-04 09:55:00,371.2,370.2,-0.26939655172413796
BPCL,LONG,2025-11-11 09:58:00,2025-11-11 10:04:00,365.6,365.4,-0.05470459518600806
BPCL,LONG,2025-11-12 09:17:00,2025-11-12 09:23:00,375.95,375.1,-0.22609389546481337
BPCL,SHORT,2025-11-13 09:54:00,2025-11-13 10:04:00,373.25,373.35,-0.02679169457468794
BPCL,LONG,2025-11-14 09:47:00,2025-11-14 09:49:00,379.45,377.8,-0.4348398998550474
BRITANNIA,LONG,2025-11-07 09:47:00,2025-11-07 10:06:00,6001.0,6090.0,1.4830861523079486
BRITANNIA,SHORT,2025-11-11 09:16:00,2025-11-11 09:31:00,5794.0,5781.5,0.215740421125302
BSE,LONG,2025-11-07 09:50:00,2025-11-07 09:55:00,2498.0,2487.8,-0.40832666132905593
BSE,LONG,2025-11-12 09:16:00,2025-11-12 09:37:00,2783.6,2805.4,0.7831584997844584
BSE,LONG,2025-11-13 09:52:00,2025-11-13 10:00:00,2816.9,2812.6,-0.15265007632504463
BSE,SHORT,2025-11-17 09:16:00,2025-11-17 09:18:00,2798.6,2816.0,-0.6217394411491493
BSE,LONG,2025-11-18 09:25:00,2025-11-18 09:45:00,2847.9,2851.0,0.10885213666209871
CAMS,SHORT,2025-11-07 09:22:00,2025-11-07 09:43:00,3697.8,3681.9,0.42998539672237784
CAMS,LONG,2025-11-10 09:16:00,2025-11-10 09:26:00,3823.5,3818.1,-0.14123185562966106
CAMS,LONG,2025-11-12 09:16:00,2025-11-12 09:52:00,3860.0,3995.4,3.507772020725391
CAMS,LONG,2025-11-17 09:44:00,2025-11-17 09:52:00,4001.0,3990.0,-0.2749312671832042
CAMS,SHORT,2025-11-18 09:16:00,2025-11-18 09:21:00,3928.3,3945.7,-0.4429396940152136
CAMS,LONG,2025-11-20 09:51:00,2025-11-20 10:04:00,4002.0,4005.0,0.07496251874062969
CAMS,SHORT,2025-11-21 09:17:00,2025-11-21 09:27:00,3963.2,3984.0,-0.5248284214775985
CANBK,LONG,2025-11-12 09:16:00,2025-11-12 09:40:00,142.33,142.75,0.2950888779596624
CANBK,LONG,2025-11-12 09:43:00,2025-11-12 09:51:00,143.89,143.9,0.006949753283771859
CANBK,LONG,2025-11-24 09:51:00,2025-11-24 10:01:00,148.1,147.92,-0.12153950033761433
CDSL,SHORT,2025-11-04 09:16:00,2025-11-04 09:49:00,1574.5,1555.0,1.2384884090187362
CDSL,SHORT,2025-11-18 09:16:00,2025-11-18 09:21:00,1616.1,1622.8,-0.4145783057979114
CESC,LONG,2025-11-04 09:33:00,2025-11-04 09:38:00,181.97,181.4,-0.3132384458976717
CESC,SHORT,2025-11-11 09:32:00,2025-11-11 09:44:00,171.17,170.64,0.3096336974937204
CESC,LONG,2025-11-12 09:43:00,2025-11-12 09:51:00,171.88,171.85,-0.017454037700722097
CESC,LONG,2025-11-14 09:17:00,2025-11-14 09:20:00,173.24,172.7,-0.31170630339414707
CGPOWER,LONG,2025-11-03 09:38:00,2025-11-03 09:46:00,735.7,733.5,-0.29903493271714626
CGPOWER,SHORT,2025-11-18 09:38:00,2025-11-18 09:53:00,742.35,742.4,-0.006735367414286324
CGPOWER,SHORT,2025-11-24 09:16:00,2025-11-24 09:25:00,698.6,700.65,-0.29344403091897425
CHOLAFIN,LONG,2025-11-03 09:54:00,2025-11-03 10:03:00,1741.8,1740.4,-0.08037662188539807
CHOLAFIN,SHORT,2025-11-21 09:43:00,2025-11-21 10:04:00,1684.0,1671.0,0.7719714964370546
CHOLAFIN,LONG,2025-11-24 09:50:00,2025-11-24 09:56:00,1686.8,1684.0,-0.16599478302110235
CIPLA,LONG,2025-11-04 09:16:00,2025-11-04 09:19:00,1523.0,1516.4,-0.4333552199605981
