Stock,Entry Time,Exit Time,Entry Price,Exit Price,Gain %
LT,2025-11-10 12:29:00,2025-11-10 12:35:00,3938.0,3934.2,-0.09649568308786648
LICHSGFIN,2025-11-18 14:00:00,2025-11-18 14:09:00,568.75,568.2,-0.09670329670328871
GMRAIRPORT,2025-11-19 11:58:00,2025-11-19 12:11:00,103.23,103.13,-0.09687106461300835
MARUTI,2025-11-06 12:50:00,2025-11-06 12:57:00,15451.0,15436.0,-0.09708109507475245
IRFC,2025-11-17 10:45:00,2025-11-17 10:52:00,123.42,123.3,-0.09722897423432551
PERSISTENT,2025-11-12 13:33:00,2025-11-12 13:36:00,6167.0,6161.0,-0.09729203826820172
IRFC,2025-11-12 09:36:00,2025-11-12 09:49:00,123.18,123.06,-0.09741841207988679
PAGEIND,2025-11-13 11:18:00,2025-11-13 11:24:00,41040.0,41000.0,-0.09746588693957114
KALYANKJIL,2025-11-20 11:30:00,2025-11-20 11:37:00,512.85,512.35,-0.09749439407234084
INDIANB,2025-11-13 12:20:00,2025-11-13 12:26:00,871.3,870.45,-0.097555377022829
GLENMARK,2025-11-10 11:43:00,2025-11-10 11:52:00,1842.3,1840.5,-0.09770395701025644
CDSL,2025-11-21 12:22:00,2025-11-21 12:31:00,1634.5,1632.9,-0.09788926277148417
VBL,2025-11-13 12:49:00,2025-11-13 12:53:00,459.3,458.85,-0.09797517962116017
HEROMOTOCO,2025-11-14 12:06:00,2025-11-14 12:09:00,5612.5,5607.0,-0.09799554565701558
PAGEIND,2025-11-03 15:09:00,2025-11-03 15:10:00,40800.0,40760.0,-0.09803921568627451
MPHASIS,2025-11-12 13:17:00,2025-11-12 13:19:00,2853.8,2851.0,-0.0981147943093483
NAUKRI,2025-11-14 15:03:00,2025-11-14 15:11:00,1323.9,1322.6,-0.09819472769848038
JIOFIN,2025-11-11 13:48:00,2025-11-11 13:52:00,305.4,305.1,-0.0982318271119694
ITC,2025-11-21 11:31:00,2025-11-21 11:35:00,407.2,406.8,-0.0982318271119787
HCLTECH,2025-11-06 11:12:00,2025-11-06 11:16:00,1524.1,1522.6,-0.09841873892789188
GODREJPROP,2025-11-20 12:48:00,2025-11-20 12:52:00,2128.7,2126.6,-0.09865175928970306
POLICYBZR,2025-11-19 09:54:00,2025-11-19 10:03:00,1822.7,1820.9,-0.09875459483184036
POLICYBZR,2025-11-03 14:34:00,2025-11-03 14:40:00,1820.6,1818.8,-0.09886850488849581
PHOENIXLTD,2025-11-19 15:19:00,2025-11-19 15:20:00,1717.5,1715.8,-0.09898107714701866
RELIANCE,2025-11-12 09:15:00,2025-11-12 09:25:00,1509.0,1507.5,-0.09940357852882703
LICI,2025-11-11 11:57:00,2025-11-11 12:04:00,901.9,901.0,-0.09978933362900291
HDFCAMC,2025-11-12 13:07:00,2025-11-12 13:12:00,5505.5,5500.0,-0.0999000999000999
HDFCAMC,2025-11-10 15:05:00,2025-11-10 15:13:00,5500.0,5494.5,-0.1
MOTHERSON,2025-11-18 14:04:00,2025-11-18 14:09:00,109.9,109.79,-0.10009099181073652
LUPIN,2025-11-24 14:34:00,2025-11-24 14:38:00,1996.0,1994.0,-0.1002004008016032
ICICIPRULI,2025-11-03 13:44:00,2025-11-03 13:48:00,598.7,598.1,-0.1002171371304531
HDFCAMC,2025-11-10 10:19:00,2025-11-10 10:25:00,5481.0,5475.5,-0.10034665207079
LAURUSLABS,2025-11-13 11:56:00,2025-11-13 12:03:00,993.0,992.0,-0.10070493454179255
HDFCAMC,2025-11-11 12:52:00,2025-11-11 13:04:00,5460.5,5455.0,-0.10072337698013004
CAMS,2025-11-19 12:45:00,2025-11-19 12:50:00,3955.0,3951.0,-0.1011378002528445
NESTLEIND,2025-11-20 13:29:00,2025-11-20 13:34:00,1282.5,1281.2,-0.10136452241715045
SONACOMS,2025-11-10 09:50:00,2025-11-10 09:56:00,493.2,492.7,-0.1013787510137875
CAMS,2025-11-18 12:41:00,2025-11-18 12:48:00,3944.0,3940.0,-0.10141987829614604
GODREJCP,2025-11-03 14:49:00,2025-11-03 15:00:00,1180.2,1179.0,-0.10167768174885997
HINDZINC,2025-11-13 09:15:00,2025-11-13 09:27:00,491.7,491.2,-0.1016880211511084
ICICIBANK,2025-11-24 11:32:00,2025-11-24 11:39:00,1374.3,1372.9,-0.10187004293093674
GMRAIRPORT,2025-11-17 14:14:00,2025-11-17 14:21:00,98.03,97.93,-0.10200958890135092
CGPOWER,2025-11-10 11:09:00,2025-11-10 11:20:00,734.8,734.05,-0.10206859009254218
CGPOWER,2025-11-12 11:08:00,2025-11-12 11:23:00,734.65,733.9,-0.1020894303409787
GAIL,2025-11-17 14:37:00,2025-11-17 14:44:00,185.56,185.37,-0.1023927570597099
SUPREMEIND,2025-11-21 14:27:00,2025-11-21 14:37:00,3512.1,3508.5,-0.10250277611685057
PIDILITIND,2025-11-11 11:58:00,2025-11-11 12:01:00,1462.8,1461.3,-0.10254306808859721
ICICIPRULI,2025-11-13 13:07:00,2025-11-13 13:13:00,633.25,632.6,-0.10264508487958582
HAL,2025-11-11 11:59:00,2025-11-11 12:03:00,4855.7,4850.7,-0.10297176514199807
MAXHEALTH,2025-11-19 13:06:00,2025-11-19 13:12:00,1165.3,1164.1,-0.10297777396379006
LAURUSLABS,2025-11-03 11:47:00,2025-11-03 11:52:00,970.35,969.35,-0.10305559849538826
NESTLEIND,2025-11-03 12:32:00,2025-11-03 12:38:00,1261.3,1260.0,-0.10306826290335008
LUPIN,2025-11-20 10:38:00,2025-11-20 10:42:00,2036.9,2034.8,-0.103097844764109
