date,stock,strike,option_type,entry_time,entry_spot,entry_premium,exit_time,exit_spot,exit_premium,exit_reason,option_pnl_pct,option_pnl_amount,stock_pnl_pct,stock_day_pnl_pct,max_profit_pct,max_loss_pct,day_high,day_low,day_close
2025-12-10,OBEROIRLTY,1650,PE,2025-12-10 04:00:00+00:00,1648.1,99.0,2025-12-10 04:00:00+00:00,1648.1,51.40000000000009,Stop Loss (-40%),-48.08080808080799,-178499.99999999965,0.0,-0.8904610880702555,0.0,-48.08080808080799,1656.3,1616.1,1625.0
2025-12-12,OBEROIRLTY,1650,CE,2025-12-12 04:00:00+00:00,1666.3,99.0,2025-12-12 04:35:00+00:00,1662.7,58.83125000000005,Stop Loss (-40%),-40.574494949494905,-150632.81249999983,-0.216047530456695,1.469422596183168,0.0,-40.574494949494905,1677.0,1640.1,1664.2
2025-12-02,OIL,410,CE,2025-12-02 04:00:00+00:00,416.45,24.599999999999998,2025-12-02 05:53:00+00:00,414.75,14.347416666666666,Stop Loss (-40%),-41.67716802168022,-38447.18749999999,-0.40821227038059515,1.2013105205678893,0.0,-41.67716802168022,417.7,412.05,417.0
2025-12-03,OIL,420,PE,2025-12-03 04:00:00+00:00,416.7,25.2,2025-12-03 08:36:00+00:00,410.75,15.088000000000001,Stop Loss (-40%),-40.12698412698412,-37919.99999999999,-1.427885769138466,-2.166666666666672,0.0,-40.12698412698412,420.0,407.05,410.9
2025-12-04,OIL,410,PE,2025-12-04 04:00:00+00:00,407.75,24.599999999999998,2025-12-04 04:00:00+00:00,407.75,14.549999999999999,Stop Loss (-40%),-40.853658536585364,-37687.49999999999,0.0,-1.0081379812947837,0.0,-40.853658536585364,411.75,407.05,407.5
2025-12-05,OIL,410,CE,2025-12-05 04:00:00+00:00,406.35,24.599999999999998,2025-12-05 04:00:00+00:00,406.35,12.299999999999999,Stop Loss (-40%),-50.0,-46124.99999999999,0.0,0.955414012738862,0.0,-50.0,412.9,406.35,412.1
2025-12-10,OIL,400,PE,2025-12-10 04:00:00+00:00,400.0,24.0,2025-12-10 04:00:00+00:00,400.0,12.0,Stop Loss (-40%),-50.0,-45000.0,0.0,-1.4206300185299567,0.0,-50.0,404.75,395.6,399.0
2025-12-11,OIL,400,CE,2025-12-11 04:00:00+00:00,399.35,24.0,2025-12-11 04:00:00+00:00,399.35,12.0,Stop Loss (-40%),-50.0,-45000.0,0.0,1.0125000000000028,0.0,-50.0,407.8,397.65,404.05
2025-12-03,ONGC,240,PE,2025-12-03 04:00:00+00:00,242.72,14.399999999999999,2025-12-03 04:00:00+00:00,242.72,7.199999999999999,Stop Loss (-40%),-50.0,-26999.999999999996,0.0,-1.6553984839172384,0.0,-50.0,244.36,239.56,240.01
2025-12-04,ONGC,240,CE,2025-12-04 04:00:00+00:00,240.25,14.399999999999999,2025-12-04 04:00:00+00:00,240.25,7.449999999999999,Stop Loss (-40%),-48.26388888888889,-26062.499999999996,0.0,0.6237006237006237,0.0,-48.26388888888889,242.7,239.69,242.0
2025-12-09,ONGC,240,CE,2025-12-09 04:00:00+00:00,237.13,14.399999999999999,2025-12-09 04:00:00+00:00,237.13,7.199999999999999,Stop Loss (-40%),-50.0,-26999.999999999996,0.0,0.6815313420277681,0.0,-50.0,240.2,236.83,239.32
2025-12-15,ONGC,240,PE,2025-12-15 04:00:00+00:00,231.81,14.399999999999999,2025-12-15 08:45:00+00:00,234.69,8.520000000000003,Stop Loss (-40%),-40.83333333333331,-22049.99999999998,1.242396790474956,-1.176470588235299,15.847222222222324,-40.83333333333331,238.79,229.94,235.2
2025-12-01,PAGEIND,38300,PE,2025-12-01 04:00:00+00:00,37850.0,2298.0,2025-12-01 06:24:00+00:00,37750.0,1377.28,Stop Loss (-40%),-40.06614447345518,-3452700.0,-0.26420079260237783,-2.55741127348643,0.0,-40.06614447345518,38350.0,37205.0,37340.0
2025-12-02,PAGEIND,37300,CE,2025-12-02 04:00:00+00:00,37200.0,2238.0,2025-12-02 04:00:00+00:00,37200.0,1119.0,Stop Loss (-40%),-50.0,-4196250.0,0.0,0.4418853776111409,0.0,-50.0,37650.0,37110.0,37505.0
2025-12-03,PAGEIND,37600,PE,2025-12-03 04:00:00+00:00,37545.0,2256.0,2025-12-03 04:00:00+00:00,37545.0,1183.0,Stop Loss (-40%),-47.562056737588655,-4023750.0,0.0,-0.35866099893730075,0.0,-47.562056737588655,37665.0,36785.0,37505.0
2025-12-05,PAGEIND,37600,PE,2025-12-05 04:00:00+00:00,37460.0,2256.0,2025-12-05 04:00:00+00:00,37460.0,1268.0,Stop Loss (-40%),-43.794326241134755,-3705000.0,0.0,-0.4249667994687915,0.0,-43.794326241134755,37650.0,37240.0,37490.0
2025-12-10,PAGEIND,37400,PE,2025-12-10 04:00:00+00:00,37355.0,2244.0,2025-12-10 04:00:00+00:00,37355.0,1167.0,Stop Loss (-40%),-47.99465240641711,-4038750.0,0.0,-2.0197966827180314,0.0,-47.99465240641711,37440.0,36610.0,36625.0
2025-12-11,PAGEIND,36900,CE,2025-12-11 04:00:00+00:00,36860.0,2214.0,2025-12-11 04:00:00+00:00,36860.0,1107.0,Stop Loss (-40%),-50.0,-4151250.0,0.0,0.6375474769397721,0.0,-50.0,37170.0,36575.0,37095.0
2025-12-03,PERSISTENT,6400,PE,2025-12-03 04:00:00+00:00,6371.5,384.0,2025-12-03 04:00:00+00:00,6371.5,220.5,Stop Loss (-40%),-42.578125,-613125.0,0.0,-0.9149917885352311,0.0,-42.578125,6408.0,6295.0,6335.0
2025-12-04,PERSISTENT,6400,CE,2025-12-04 04:00:00+00:00,6417.0,384.0,2025-12-04 04:00:00+00:00,6417.0,209.0,Stop Loss (-40%),-45.57291666666667,-656250.0,0.0,0.9561128526645767,0.0,-45.57291666666667,6528.5,6334.0,6441.0
2025-12-05,PERSISTENT,6500,CE,2025-12-05 04:00:00+00:00,6459.0,390.0,2025-12-05 04:00:00+00:00,6459.0,195.0,Stop Loss (-40%),-50.0,-731250.0,0.0,1.0227801022780103,0.0,-50.0,6531.5,6428.0,6519.0
2025-12-10,PERSISTENT,6300,PE,2025-12-10 04:00:00+00:00,6349.5,378.0,2025-12-10 04:00:00+00:00,6349.5,189.0,Stop Loss (-40%),-50.0,-708750.0,0.0,-4.690342482005852,0.0,-50.0,6373.0,6013.5,6025.0
2025-12-11,PERSISTENT,6000,CE,2025-12-11 04:00:00+00:00,6142.5,360.0,2025-12-11 04:22:00+00:00,6025.0,197.29999999999998,Stop Loss (-40%),-45.19444444444445,-610125.0000000001,-1.912901912901913,3.0456012579657368,0.0,-45.19444444444445,6229.5,6019.0,6225.5
2025-12-12,PERSISTENT,6200,CE,2025-12-12 04:00:00+00:00,6290.0,372.0,2025-12-12 05:13:00+00:00,6263.5,223.09833333333333,Stop Loss (-40%),-40.02732974910395,-558381.25,-0.4213036565977743,1.3701923076923077,0.0,-40.02732974910395,6357.0,6204.0,6325.5
2025-12-03,PETRONET,270,PE,2025-12-03 04:00:00+00:00,270.25,16.2,2025-12-03 04:00:00+00:00,270.25,8.1,Stop Loss (-40%),-50.0,-30375.0,0.0,-0.7760532150776137,0.0,-50.0,271.4,268.0,268.5
2025-12-04,PETRONET,270,CE,2025-12-04 04:00:00+00:00,276.9,16.2,2025-12-04 09:59:00+00:00,280.95,13.395749999999989,Time Stop,-17.31018518518525,-10515.937500000038,1.4626218851571007,3.499723706023209,7.217592592592735,-19.382716049382708,281.4,271.1,280.95
2025-12-05,PETRONET,280,PE,2025-12-05 04:00:00+00:00,278.5,16.8,2025-12-05 04:00:00+00:00,278.5,9.9,Stop Loss (-40%),-41.07142857142857,-25875.0,0.0,-2.029191883232463,0.0,-41.07142857142857,280.95,273.7,275.2
2025-12-12,PETRONET,270,PE,2025-12-12 04:00:00+00:00,270.45,16.2,2025-12-12 04:00:00+00:00,270.45,8.1,Stop Loss (-40%),-50.0,-30375.0,0.0,-0.848395426042055,0.0,-50.0,271.65,267.95,268.8
2025-12-01,PFC,360,PE,2025-12-01 04:00:00+00:00,364.4,21.599999999999998,2025-12-01 04:00:00+00:00,364.4,10.799999999999999,Stop Loss (-40%),-50.0,-40499.99999999999,0.0,-1.015925315760568,0.0,-50.0,365.85,360.0,360.5
2025-12-02,PFC,360,CE,2025-12-02 04:00:00+00:00,358.75,21.599999999999998,2025-12-02 04:00:00+00:00,358.75,10.799999999999999,Stop Loss (-40%),-50.0,-40499.99999999999,0.0,1.1784511784511913,0.0,-50.0,363.3,356.4,360.6
2025-12-03,PFC,360,PE,2025-12-03 04:00:00+00:00,358.65,21.599999999999998,2025-12-03 04:00:00+00:00,358.65,12.150000000000022,Stop Loss (-40%),-43.74999999999989,-35437.49999999991,0.0,-2.4930747922437675,0.0,-43.74999999999989,361.8,350.65,352.0
2025-12-11,PFC,340,PE,2025-12-11 04:00:00+00:00,343.3,20.4,2025-12-11 04:00:00+00:00,343.3,10.2,Stop Loss (-40%),-50.0,-38250.0,0.0,-0.4068584713746103,0.0,-50.0,344.5,340.45,342.7
2025-12-15,PFC,340,PE,2025-12-15 04:00:00+00:00,337.95,20.4,2025-12-15 04:01:00+00:00,338.25,11.930166666666667,Stop Loss (-40%),-41.518790849673195,-31761.874999999996,0.08877052818464606,-0.9011627906976811,0.0,-41.518790849673195,344.0,337.7,340.9
2025-12-01,PHOENIXLTD,1750,PE,2025-12-01 04:00:00+00:00,1733.1,105.0,2025-12-01 04:08:00+00:00,1740.3,61.38333333333338,Stop Loss (-40%),-41.539682539682495,-163562.49999999983,0.41544054007270476,-0.18409849269359368,0.0,-41.539682539682495,1750.0,1722.1,1735.0
2025-12-03,PHOENIXLTD,1750,PE,2025-12-03 04:00:00+00:00,1725.9,105.0,2025-12-03 07:03:00+00:00,1722.5,61.31875000000001,Stop Loss (-40%),-41.60119047619047,-163804.68749999997,-0.19699866736196137,-0.5949630314232875,0.0,-41.60119047619047,1737.9,1701.7,1720.9
2025-12-09,PHOENIXLTD,1700,CE,2025-12-09 04:00:00+00:00,1705.5,102.0,2025-12-09 04:00:00+00:00,1705.5,56.5,Stop Loss (-40%),-44.6078431372549,-170625.0,0.0,1.9411764705882355,0.0,-44.6078431372549,1753.0,1698.5,1733.0
2025-12-10,PHOENIXLTD,1750,CE,2025-12-10 04:00:00+00:00,1738.6,105.0,2025-12-10 04:00:00+00:00,1738.6,52.5,Stop Loss (-40%),-50.0,-196875.0,0.0,-0.1790872328133974,0.0,-50.0,1764.2,1722.7,1727.9
2025-12-11,PHOENIXLTD,1700,CE,2025-12-11 04:00:00+00:00,1729.2,102.0,2025-12-11 08:29:00+00:00,1736.8,61.124166666666625,Stop Loss (-40%),-40.0743464052288,-153284.37500000015,0.4395095998149381,1.4150943396226388,0.0,-40.0743464052288,1752.1,1717.2,1741.5
2025-12-12,PHOENIXLTD,1750,CE,2025-12-12 04:00:00+00:00,1750.0,105.0,2025-12-12 04:00:00+00:00,1750.0,52.5,Stop Loss (-40%),-50.0,-196875.0,0.0,0.8571428571428572,0.0,-50.0,1776.0,1727.1,1765.0
2025-12-15,PHOENIXLTD,1750,CE,2025-12-15 04:00:00+00:00,1747.2,105.0,2025-12-15 04:00:00+00:00,1747.2,52.5,Stop Loss (-40%),-50.0,-196875.0,0.0,1.1471518987341875,0.0,-50.0,1799.0,1746.1,1789.9
2025-12-03,PIDILITIND,1450,CE,2025-12-03 04:00:00+00:00,1476.8,87.0,2025-12-03 08:25:00+00:00,1480.0,51.08541666666666,Stop Loss (-40%),-41.28113026819924,-134679.68750000003,0.2166847237269803,0.5438477226376615,0.0,-41.28113026819924,1487.5,1471.0,1479.0
2025-12-10,PIDILITIND,1450,CE,2025-12-10 04:00:00+00:00,1459.1,87.0,2025-12-10 04:03:00+00:00,1458.7,51.94625000000004,Stop Loss (-40%),-40.29166666666662,-131451.56249999985,-0.027414159413327643,0.468739229337558,0.0,-40.29166666666662,1466.4,1450.7,1457.5
2025-12-11,PIDILITIND,1450,CE,2025-12-11 04:00:00+00:00,1460.9,87.0,2025-12-11 04:32:00+00:00,1460.6,51.393333333333246,Stop Loss (-40%),-40.9272030651342,-133525.00000000032,-0.02053528646725867,0.6324328040145766,0.0,-40.9272030651342,1472.5,1451.0,1463.9
2025-12-12,PIDILITIND,1450,CE,2025-12-12 04:00:00+00:00,1475.2,87.0,2025-12-12 06:38:00+00:00,1471.5,51.63583333333334,Stop Loss (-40%),-40.648467432950184,-132615.62499999997,-0.25081344902386427,0.7169682485489928,0.0,-40.648467432950184,1479.5,1464.5,1475.0
2025-12-05,PNB,120,CE,2025-12-05 04:00:00+00:00,119.69,7.199999999999999,2025-12-05 04:00:00+00:00,119.69,3.5999999999999996,Stop Loss (-40%),-50.0,-13499.999999999998,0.0,1.6124989556353972,0.0,-50.0,121.9,119.15,121.62
2025-12-10,PNB,120,PE,2025-12-10 04:00:00+00:00,118.76,7.199999999999999,2025-12-10 07:49:00+00:00,117.71,4.287000000000006,Stop Loss (-40%),-40.45833333333324,-10923.749999999975,-0.8841360727517779,-1.302435723951279,0.0,-40.45833333333324,119.2,116.6,116.7
2025-12-01,POLYCAB,7500,PE,2025-12-01 04:00:00+00:00,7525.0,450.0,2025-12-01 04:00:00+00:00,7525.0,225.0,Stop Loss (-40%),-50.0,-843750.0,0.0,-1.0430596416154052,0.0,-50.0,7530.0,7382.5,7400.0
2025-12-02,POLYCAB,7400,PE,2025-12-02 04:00:00+00:00,7416.0,444.0,2025-12-02 04:00:00+00:00,7416.0,222.0,Stop Loss (-40%),-50.0,-832500.0,0.0,-0.9649773938862272,0.0,-50.0,7462.5,7281.0,7338.0
2025-12-03,POLYCAB,7400,PE,2025-12-03 04:00:00+00:00,7332.5,444.0,2025-12-03 07:40:00+00:00,7261.5,265.5333333333333,Stop Loss (-40%),-40.195195195195204,-669250.0000000001,-0.9682918513467439,-1.8995929443690638,0.0,-40.195195195195204,7370.0,7206.5,7230.0
2025-12-04,POLYCAB,7200,CE,2025-12-04 04:00:00+00:00,7292.5,432.0,2025-12-04 07:30:00+00:00,7331.0,258.8,Stop Loss (-40%),-40.09259259259259,-649500.0,0.5279396640383957,0.8344827586206897,0.0,-40.09259259259259,7382.5,7233.0,7310.5
2025-12-05,POLYCAB,7300,PE,2025-12-05 04:00:00+00:00,7289.0,438.0,2025-12-05 04:00:00+00:00,7289.0,230.0,Stop Loss (-40%),-47.48858447488584,-780000.0,0.0,-0.696626143969403,0.0,-47.48858447488584,7336.0,7171.0,7270.0
2025-12-09,POLYCAB,7000,CE,2025-12-09 04:00:00+00:00,6977.0,420.0,2025-12-09 04:00:00+00:00,6977.0,210.0,Stop Loss (-40%),-50.0,-787500.0,0.0,2.135231316725979,0.0,-50.0,7214.5,6932.0,7175.0
2025-12-10,POLYCAB,7200,PE,2025-12-10 04:00:00+00:00,7217.5,432.0,2025-12-10 04:00:00+00:00,7217.5,216.0,Stop Loss (-40%),-50.0,-810000.0,0.0,-1.3713810777115945,0.0,-50.0,7268.5,7110.0,7120.0
2025-12-11,POLYCAB,7100,CE,2025-12-11 04:00:00+00:00,7259.0,426.0,2025-12-11 06:20:00+00:00,7197.5,252.51666666666668,Stop Loss (-40%),-40.72378716744914,-650562.5,-0.8472241355558617,1.3623595505617976,0.0,-40.72378716744914,7307.0,7120.0,7217.0
