stock,date,entry_price,entry_idx,rsi,macd,signal,volume_ratio,range_position,conditions_met,conditions,exit_pct,exit_reason,pnl,capital
ASTRAL,2025-11-26,1475.3,710,46.46464646464619,0.21584835483622555,0.23424352307291454,1.7647058823529411,94.81707317073156,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",-0.718497932623867,EOD,-143.6995865247734,20000
AUBANK,2025-11-26,957.05,846,47.34411085450332,0.06320193953445141,0.14269492166942183,0.0,44.8936170212764,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",0.8881458648973408,EOD,177.62917297946817,20000
AUROPHARMA,2025-11-26,1233.2,570,54.53446191051989,0.36776668936954593,0.20546565957876078,0.0,87.19346049046311,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",1.1028219266947703,EOD,220.56438533895405,20000
AXISBANK,2025-11-26,1310.0,837,53.15457413249212,0.44926138543837624,0.08667909853669176,0.0,89.4179894179894,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.9618320610686953,EOD,-192.36641221373907,20000
BAJAJ-AUTO,2025-11-26,9276.5,670,51.72855313700385,3.4796610526627774,1.7834554864599985,0.43243243243243246,94.27207637231504,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.1642321996442624,EOD,-232.84643992885248,20000
BAJFINANCE,2025-11-26,1029.4,852,50.0,0.6314949826662541,0.09536297514143854,0.0,98.07228915662661,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.0491548474839887,EOD,-209.8309694967977,20000
BANDHANBNK,2025-11-26,153.52,835,50.0,0.11791608416905319,0.09144087266724399,0.0,63.42975206611611,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.8598228243876973,EOD,171.96456487753946,20000
BANKBARODA,2025-11-26,294.15,760,50.0,0.12312764724435965,0.05898673164634122,0.0,71.51898734177206,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.6998130205677378,EOD,-339.96260411354757,20000
BANKINDIA,2025-11-26,150.84,768,53.041825095057064,0.03156532566208625,0.001815766645837242,2.857142857142857,47.94520547945226,4,"{'rsi': np.True_, 'macd': True, 'volume': np.True_, 'range': True}",-0.5833996287456877,EOD,-116.67992574913754,20000
BHARATFORG,2025-11-26,1438.8,768,53.31125827814567,0.06736505593698894,-0.039042664683495515,0.0,75.37537537537521,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.7923269391159363,EOD,158.46538782318729,20000
BHARTIARTL,2025-11-26,2141.8,842,49.845081332300595,-0.9000284610178824,-0.36390466092161966,0.3389830508474576,51.38211382113881,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",0.0,EOD,0.0,20000
BHEL,2025-11-26,290.7,827,46.31147540983606,-0.1524608302003685,0.015341601848614616,4.285714285714286,59.82532751091679,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",1.6511867905056994,EOD,330.2373581011399,20000
BIOCON,2025-11-26,403.45,833,50.0,0.24084186890632964,0.18127196759153827,0.0,80.48780487804879,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.6196554715578139,EOD,123.93109431156277,20000
BLUESTARCO,2025-11-26,1783.1,566,46.399999999999636,0.04367370998329534,0.08646453517127962,1.7391304347826086,76.41196013289002,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",0.7739330379675948,EOD,154.78660759351897,20000
BPCL,2025-11-26,367.8,855,50.757575757575715,0.051699264416811275,-0.010709613818738917,2.5,85.65217391304367,3,"{'rsi': np.True_, 'macd': True, 'volume': np.True_, 'range': False}",0.7884719956498035,EOD,157.69439912996071,20000
