date,stock,strategy,rsi,range_position,entry_price,option_type,pnl,exit_reason,exit_pct
2025-12-15,PIIND,B_PE_LOW,49.36102236421709,29.957805907172652,3255.2,PE,63.89776357827253,EOD,0.31948881789136263
2025-12-15,PNBHOUSING,B_PE_LOW,48.039215686274474,31.02517985611509,921.65,PE,-362.393533336951,EOD,-1.811967666684755
2025-12-15,PPLPHARMA,B_PE_LOW,43.95454545454542,3.0150753768845227,172.29,PE,-350.571710488135,EOD,-1.752858552440675
2025-12-15,RBLBANK,B_PE_LOW,50.0,26.618705035971598,306.05,PE,71.88367913739734,EOD,0.3594183956869867
2025-12-15,SAMMAANCAP,B_PE_LOW,48.98856640281446,32.38231098430832,150.36,PE,311.25299281724284,EOD,1.5562649640862143
2025-12-15,SOLARINDS,B_PE_LOW,50.0,31.11111111111111,12300.0,PE,-16.260162601626018,EOD,-0.08130081300813008
2025-12-15,TECHM,B_PE_LOW,49.73821989528796,19.07514450867031,1581.0,PE,-253.0044275774826,EOD,-1.265022137887413
2025-12-15,TMPV,B_PE_LOW,46.36627906976743,37.86982248520702,346.75,PE,-363.3741888968971,EOD,-1.8168709444844857
2025-12-15,ULTRACEMCO,B_PE_LOW,50.18726591760299,20.930232558139537,11760.0,PE,-34.01360544217687,EOD,-0.17006802721088435
2025-12-15,UNOMINDA,B_PE_LOW,49.167397020157715,14.876033057850835,1241.6,PE,-35.438144329901306,EOD,-0.17719072164950653
2025-12-15,VBL,B_PE_LOW,46.4469618949536,7.999999999999545,476.9,PE,-343.88760746487924,EOD,-1.7194380373243963
2025-12-16,360ONE,B_PE_LOW,44.98069498069495,1.8099547511316407,1133.4,PE,119.99294159167428,EOD,0.5999647079583714
2025-12-16,ABCAPITAL,B_PE_LOW,45.3514739229025,13.114754098360793,351.05,PE,381.7120068366355,EOD,1.9085600341831777
2025-12-16,ADANIENSOL,B_PE_LOW,55.465587044534495,31.65137614678895,1005.1,PE,202.96487911650678,EOD,1.0148243955825338
2025-12-16,ADANIENT,B_PE_LOW,46.77419354838714,34.85148514851557,2258.3,PE,115.13085063986183,EOD,0.5756542531993092
2025-12-16,ADANIGREEN,B_PE_LOW,43.76590330788795,19.298245614035086,1030.1,PE,11.649354431606817,EOD,0.05824677215803409
2025-12-16,ADANIPORTS,B_PE_LOW,44.84732824427483,21.649484536082387,1507.0,PE,119.44260119442602,EOD,0.5972130059721301
2025-12-16,AMBER,B_PE_LOW,45.98070739549839,28.488372093023255,6716.5,PE,157.8202933075262,EOD,0.7891014665376311
2025-12-16,AMBUJACEM,B_PE_LOW,45.979899497487374,29.104477611940176,548.9,PE,29.14920750591928,EOD,0.1457460375295964
